id,Storage conditions
1,2°C - 8°C
2,Do not freeze
3,Do not store above 25°C
4,Do not store above 30°C
5,Keep in an airtight container
6,Keep the container in the outer carton
7,Other
8,Protect from light
9,Protect from light and moisture
10,Protect from moisture
11,Storage at 2°C - 8°C
12,Storage at 2•c to 8•c
13,Store and transport refrigerated (2°C - 8°C)
14,Store at 15-30°C in the original pack
15,Store at 15-30•C in the original pack
16,"Store at room temperature,Protect from light"
17,Store below 25°C
18,Store below 30°C
19,"Store below 30°C, Protect from light"
20,"Store below 30°C, store in the original package"
21,"Store below 30°C,Store in the original package"
22,Store below 30°C. Protect from light
23,Store below 30°C. Protect from light.
24,Store below 30°C: Store in the original package
25,Store Between 20°C - 25°C
26,Store in a cool dry place
27,Store in a freezer
28,Store in a refrigerator (2°C - 8°C)
29,Store in the original package
30,Store/transport refrigerated (2°C - 8°C)
31,This medicinal product does not require any special storage conditions
32,To be used immediately
